image_ids,Best Asymmetry,Mean Asymmetry,Red1,Red2,White,Black,Light brown,Dark brown,Blue gray,Has Veil?
PAT_388_4500_103,1.0,2.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_286_1459_926,1.0,2.066,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_185_285_862,2.0,2.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_383_777_129,1.0,1.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_492_937_958,2.0,2.867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_453_883_719,2.0,2.666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_220_338_339,2.0,2.934,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_112_168_360,2.0,2.666,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PAT_61_299_74,1.0,2.2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_45_65_551,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_84_128_233,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_303_652_342,2.0,2.8,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
PAT_242_368_261,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAT_393_793_852,2.0,2.6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_224_343_782,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_206_312_760,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_272_419_906,2.0,2.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_559_1093_774,2.0,2.867,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
PAT_417_828_723,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
PAT_456_888_961,2.0,2.934,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
PAT_279_429_142,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_411_815_692,2.0,2.867,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_490_933_352,2.0,2.867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_87_133_391,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_243_372_640,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_170_264_785,2.0,2.334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_141_209_438,1.0,1.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_343_717_927,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
PAT_482_924_134,2.0,2.8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_230_1009_92,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_268_413_643,2.0,2.867,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PAT_330_698_302,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_582_1363_358,1.0,2.268,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_71_145_971,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_308_661_184,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_522_985_991,1.0,2.4,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_207_313_709,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_330_695_296,2.0,2.732,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_265_407_421,1.0,2.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
PAT_228_348_535,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_467_904_535,1.0,2.732,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_270_1384_995,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_344_718_206,1.0,2.334,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PAT_272_420_10,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_557_1058_309,1.0,1.467,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_312_668_480,1.0,2.6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_522_986_305,1.0,2.334,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
PAT_388_1589_976,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
PAT_114_173_213,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_167_258_711,1.0,2.732,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_416_826_123,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_38_53_198,1.0,2.467,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_245_376_24,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_529_994_419,1.0,2.066,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_53_81_522,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_387_786_213,1.0,2.467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_326_690_823,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_193_297_295,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_439_2887_834,2.0,2.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
PAT_145_216_158,1.0,2.533,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_430_848_550,2.0,2.934,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
PAT_388_1590_169,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
PAT_341_715_180,1.0,2.334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_451_878_634,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
PAT_527_1360_225,1.0,1.066,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_40_56_160,1.0,2.2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_251_382_240,1.0,2.666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_242_369_930,1.0,2.066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAT_269_415_906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_243_372_119,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
PAT_274_423_374,1.0,2.467,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
PAT_328_692_681,1.0,1.533,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_286_1459_666,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_290_445_988,1.0,2.334,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_197_301_449,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
PAT_219_336_376,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_123_187_164,2.0,2.867,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_570_1084_637,2.0,2.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_340_714_68,1.0,2.533,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
PAT_459_892_804,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_513_965_496,2.0,2.867,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PAT_406_1542_754,1.0,2.066,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PAT_72_110_647,1.0,2.533,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_92_141_551,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_442_863_795,1.0,1.934,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_370_758_322,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_397_798_482,2.0,2.533,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PAT_162_252_773,2.0,2.867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PAT_155_238_413,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_109_868_113,1.0,2.533,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PAT_238_364_387,1.0,2.533,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_480_921_1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_395_795_43,2.0,2.867,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
PAT_75_113_165,1.0,2.467,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_463_897_440,2.0,2.8,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
PAT_300_647_501,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_93_361_467,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PAT_364_749_377,2.0,2.8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_441_861_542,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_108_161_878,1.0,2.4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
PAT_135_202_593,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_159_246_630,2.0,2.867,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_46_880_140,2.0,2.867,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_385_783_574,1.0,2.666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_474_912_879,1.0,2.2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_430_847_315,1.0,2.732,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PAT_202_307_927,2.0,2.867,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_306_1646_971,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_85_129_896,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
